
Resultados por comunidades y ciudades autónomas
Formación Bruta de Capital Fijo por comunidades y ciudades autónomas, ramas de actividad y periodo.
Unidades: miles de euros y porcentajes

,2007 (P),2006,2005,2004,2003,2002,2001,2000,
    CA+CB+DF  Extracción de productos energéticos, extracción otros minerales, coquerías, refino y combustibles nucleares,119.370,195.914,181.251,215.763,62.744,57.351,44.253,46.879,
    EE  Energía eléctrica, gas y agua,379.621,546.345,415.328,325.347,264.850,314.652,262.059,236.905,
    Industria,1.725.932,1.615.576,1.300.254,1.074.627,915.137,900.544,902.445,895.175,
    Construcción,740.953,558.174,511.153,439.865,355.071,334.380,289.470,305.286,
    FF  Construcción,740.953,558.174,511.153,439.865,355.071,334.380,289.470,305.286,
    Servicios,14.033.583,12.814.263,11.121.269,9.833.793,8.726.619,7.683.575,7.226.314,6.532.378,
    GG  Comercio y reparación,773.143,710.589,687.982,688.840,554.645,563.648,504.377,470.728,
    HH  Hostelería,238.020,212.844,200.545,200.099,170.957,171.317,157.893,130.993,
    II  Transporte y comunicaciones,1.968.576,1.520.272,1.407.592,1.113.926,1.386.925,1.272.017,1.409.925,1.365.837,
    JJ  Intermediación financiera,203.071,475.706,221.645,298.259,230.576,165.388,185.829,172.236,
    KK  Inmobiliarias y servicios empresariales,7.209.778,6.580.038,5.833.366,4.896.815,4.075.786,3.486.996,3.004.664,2.528.630,
    LL  Administración pública,2.108.205,1.837.237,1.643.695,1.631.210,1.313.824,1.111.973,1.057.052,1.015.172,
    MM  Educación,193.417,202.844,158.398,166.178,163.611,161.382,140.157,152.808,
    NN  Actividades sanitarias y veterinarias servicios sociales,433.682,389.849,298.039,264.293,228.084,201.459,293.424,275.344,
    OO  Otros servicios y actividades sociales servicios personales,905.691,884.884,670.007,574.173,602.211,549.395,472.993,420.630,
    PP  Hogares que emplean personal doméstico,0,0,0,0,0,0,0,0,
    FORMACIÓN BRUTA DE CAPITAL FIJO,17.320.232,16.046.144,13.877.651,12.201.623,10.626.310,9.575.880,8.991.506,8.256.160,
Madrid, Comunidad de,
    FORMACIÓN BRUTA DE CAPITAL FIJO,50.271.347,48.576.509,45.605.062,39.601.085,36.415.991,32.857.812,30.777.686,28.565.189,
    Agricultura, ganadería y pesca,121.977,120.519,137.203,108.690,99.306,102.091,95.542,90.896,
    AA  Agricultura, ganadería, caza y selvicultura,121.055,119.405,136.083,107.516,98.014,100.802,94.226,89.922,
    BB  Pesca,922,1.114,1.120,1.174,1.292,1.289,1.316,974,
    Energía,2.715.068,2.662.476,2.508.115,2.141.411,1.754.814,1.621.797,1.258.784,1.129.638,
    CA+CB+DF  Extracción de productos energéticos, extracción otros minerales, coquerías, refino y combustibles nucleares,192.463,238.772,165.349,140.105,82.737,80.040,76.161,81.133,
    EE  Energía eléctrica, gas y agua,2.522.605,2.423.704,2.342.766,2.001.306,1.672.077,1.541.757,1.182.623,1.048.505,
    Industria,2.821.415,2.370.375,2.289.250,2.152.269,2.147.257,2.155.772,2.179.486,2.008.735,
    Construcción,2.251.734,2.130.635,1.565.787,1.208.173,1.068.656,868.505,862.390,835.937,
    FF  Construcción,2.251.734,2.130.635,1.565.787,1.208.173,1.068.656,868.505,862.390,835.937,
    Servicios,42.361.153,41.292.504,39.104.707,33.990.542,31.345.958,28.109.647,26.381.484,24.499.983,
    GG  Comercio y reparación,3.100.914,2.758.419,2.552.563,2.735.380,2.238.266,2.106.437,2.004.696,1.860.836,
    HH  Hostelería,839.006,812.420,773.355,718.346,655.246,610.179,605.862,512.702,
    II  Transporte y comunicaciones,9.435.352,8.537.366,8.237.807,8.186.871,8.724.457,7.258.453,6.720.037,7.096.692,
    JJ  Intermediación financiera,655.648,1.180.911,774.260,838.082,638.269,448.354,689.314,463.520,
    KK  Inmobiliarias y servicios empresariales,17.922.910,18.067.537,17.659.735,15.634.007,13.157.208,11.348.411,10.568.672,9.940.019,
    LL  Administración pública,5.002.459,4.928.409,4.958.772,2.361.950,2.577.553,3.328.690,2.969.707,1.905.682,
    MM  Educación,1.057.420,930.531,975.441,859.472,763.672,682.177,620.373,575.245,
    NN  Actividades sanitarias y veterinarias servicios sociales,1.067.893,924.287,689.005,579.662,561.690,479.530,400.728,357.307,
    OO  Otros servicios y actividades sociales servicios personales,3.279.551,3.152.624,2.483.769,2.076.772,2.029.597,1.847.416,1.802.095,1.787.980,
    PP  Hogares que emplean personal doméstico,0,0,0,0,0,0,0,0,
    FORMACIÓN BRUTA DE CAPITAL FIJO,50.271.347,48.576.509,45.605.062,39.601.085,36.415.991,32.857.812,30.777.686,28.565.189,
Murcia, Región de,
    FORMACIÓN BRUTA DE CAPITAL FIJO,10.604.349,9.978.164,8.177.275,6.573.588,5.406.749,4.555.319,4.305.670,3.834.566,
    Agricultura, ganadería y pesca,242.290,246.553,245.050,266.720,245.227,230.709,224.156,204.717,
    AA  Agricultura, ganadería, caza y selvicultura,239.306,242.755,241.245,263.326,241.411,226.638,220.181,201.955,
    BB  Pesca,2.984,3.798,3.805,3.394,3.816,4.071,3.975,2.762,
    Energía,456.439,455.088,344.877,299.607,201.638,191.260,158.277,149.639,
    CA+CB+DF  Extracción de productos energéticos, extracción otros minerales, coquerías, refino y combustibles nucleares,194.183,151.067,64.634,50.529,46.527,47.528,47.489,52.621,
    EE  Energía eléctrica, gas y agua,262.256,304.021,280.243,249.078,155.111,143.732,110.788,97.018,
    Industria,639.161,693.572,629.334,642.708,538.469,514.688,511.622,509.185,
    Construcción,476.519,490.781,332.097,269.580,248.829,196.795,179.032,172.529,
    FF  Construcción,476.519,490.781,332.097,269.580,248.829,196.795,179.032,172.529,
    Servicios,8.789.940,8.092.170,6.625.917,5.094.973,4.172.586,3.421.867,3.232.583,2.798.496,
    GG  Comercio y reparación,602.037,573.212,544.819,555.894,454.055,427.209,396.746,367.729,
    HH  Hostelería,133.746,133.802,114.832,118.637,97.724,97.796,93.668,84.469,
    II  Transporte y comunicaciones,759.581,827.500,768.070,463.819,454.935,383.063,404.176,345.843,
    JJ  Intermediación financiera,111.516,222.593,134.684,121.700,99.509,64.804,89.984,63.624,
    KK  Inmobiliarias y servicios empresariales,5.675.240,5.028.640,4.045.258,2.928.302,2.189.483,1.691.809,1.495.852,1.335.048,
    LL  Administración pública,713.020,614.718,487.791,436.718,409.312,349.654,369.978,290.619,
    MM  Educación,107.040,83.790,73.167,70.940,57.154,56.933,60.059,71.422,
    NN  Actividades sanitarias y veterinarias servicios sociales,211.580,158.098,131.037,130.544,139.317,113.182,116.618,60.079,
    OO  Otros servicios y actividades sociales servicios personales,476.180,449.817,326.259,268.419,271.097,237.417,205.502,179.663,
    PP  Hogares que emplean personal doméstico,0,0,0,0,0,0,0,0,
    FORMACIÓN BRUTA DE CAPITAL FIJO,10.604.349,9.978.164,8.177.275,6.573.588,5.406.749,4.555.319,4.305.670,3.834.566,
Navarra, Comunidad Foral de,
    FORMACIÓN BRUTA DE CAPITAL FIJO,5.647.746,5.134.501,4.506.941,4.294.305,3.969.787,3.696.551,3.527.149,3.227.225,
    Agricultura, ganadería y pesca,98.597,100.793,83.929,96.449,88.481,84.255,84.617,83.155,
    AA  Agricultura, ganadería, caza y selvicultura,..,..,..,..,..,..,..,..,
    BB  Pesca,..,..,..,..,..,..,..,..,
    Energía,266.479,220.477,207.846,153.268,154.134,154.765,134.345,149.016,
    CA+CB+DF  Extracción de productos energéticos, extracción otros minerales, coquerías, refino y combustibles nucleares,48.325,27.105,18.489,15.311,16.054,17.147,28.572,22.952,
    EE  Energía eléctrica, gas y agua,218.154,193.372,189.357,137.957,138.080,137.618,105.773,126.064,
    Industria,912.319,829.606,781.646,1.009.928,954.137,931.084,946.332,858.536,
    Construcción,230.649,235.425,146.945,123.518,109.608,104.035,93.229,89.686,
    FF  Construcción,230.649,235.425,146.945,123.518,109.608,104.035,93.229,89.686,
    Servicios,4.139.702,3.748.200,3.286.575,2.911.142,2.663.427,2.422.412,2.268.626,2.046.832,
    GG  Comercio y reparación,348.210,320.512,307.427,328.962,259.492,256.884,237.411,241.101,
    HH  Hostelería,73.832,65.414,65.119,60.938,55.101,56.081,48.656,44.275,
    II  Transporte y comunicaciones,514.309,458.720,427.130,329.895,369.513,379.869,401.900,381.736,
    JJ  Intermediación financiera,67.865,151.057,70.184,78.551,60.084,38.137,52.386,37.582,
    KK  Inmobiliarias y servicios empresariales,2.079.258,1.987.535,1.751.243,1.420.113,1.243.981,1.072.944,924.294,801.660,
    LL  Administración pública,572.075,343.986,346.883,397.862,400.612,334.903,346.889,298.723,
    MM  Educación,84.109,66.598,51.694,61.461,48.500,50.313,47.286,41.330,
    NN  Actividades sanitarias y veterinarias servicios sociales,148.606,110.791,92.482,79.810,72.081,72.815,71.767,78.535,
    OO  Otros servicios y actividades sociales servicios personales,251.438,243.587,174.413,153.550,154.063,160.466,138.037,121.890,
    PP  Hogares que emplean personal doméstico,0,0,0,0,0,0,0,0,
    FORMACIÓN BRUTA DE CAPITAL FIJO,5.647.746,5.134.501,4.506.941,4.294.305,3.969.787,3.696.551,3.527.149,3.227.225,
País Vasco,
    FORMACIÓN BRUTA DE CAPITAL FIJO,14.276.218,13.660.304,12.682.955,12.230.024,11.293.513,10.620.496,10.033.563,9.343.399,
    Agricultura, ganadería y pesca,100.904,105.149,112.092,110.948,105.891,108.978,110.455,96.785,
    AA  Agricultura, ganadería, caza y selvicultura,77.971,77.788,83.655,81.773,74.930,77.400,77.171,73.047,
    BB  Pesca,22.933,27.361,28.437,29.175,30.961,31.578,33.284,23.738,
    Energía,553.312,430.895,381.786,332.893,271.835,256.743,239.999,279.382,
    CA+CB+DF  Extracción de productos energéticos, extracción otros minerales, coquerías, refino y combustibles nucleares,210.044,120.648,175.706,82.054,76.931,75.775,91.282,102.086,
    EE  Energía eléctrica, gas y agua,343.268,310.247,206.080,250.839,194.904,180.968,148.717,177.296,
    Industria,2.215.650,2.173.541,2.034.503,2.343.069,2.493.294,2.518.952,2.562.366,2.423.093,
    Construcción,607.058,492.459,409.605,405.222,371.631,352.976,318.914,337.829,
    FF  Construcción,607.058,492.459,409.605,405.222,371.631,352.976,318.914,337.829,
    Servicios,10.799.294,10.458.260,9.744.969,9.037.892,8.050.862,7.382.847,6.801.829,6.206.310,
    GG  Comercio y reparación,887.457,833.400,817.949,887.854,715.007,661.958,611.366,580.755,
    HH  Hostelería,220.377,217.806,190.261,182.778,161.850,166.020,152.602,142.486,
    II  Transporte y comunicaciones,1.320.095,1.206.669,1.171.546,886.526,1.011.457,948.397,997.755,1.086.654,
    JJ  Intermediación financiera,147.655,294.105,181.487,250.481,178.008,129.585,186.712,127.614,
    KK  Inmobiliarias y servicios empresariales,4.946.935,5.093.740,4.900.004,4.369.805,3.801.748,3.276.908,2.932.524,2.622.135,
    LL  Administración pública,1.668.322,1.298.470,1.145.503,1.259.040,1.093.455,1.107.002,900.743,706.994,
    MM  Educación,341.505,358.612,434.672,431.861,327.563,327.735,288.980,280.327,
    NN  Actividades sanitarias y veterinarias servicios sociales,399.668,310.363,253.317,224.455,224.035,221.688,234.420,232.273,
    OO  Otros servicios y actividades sociales servicios personales,867.280,845.095,650.230,545.092,537.739,543.554,496.727,427.072,
    PP  Hogares que emplean personal doméstico,0,0,0,0,0,0,0,0,
    FORMACIÓN BRUTA DE CAPITAL FIJO,14.276.218,13.660.304,12.682.955,12.230.024,11.293.513,10.620.496,10.033.563,9.343.399,
Rioja, La,
    FORMACIÓN BRUTA DE CAPITAL FIJO,2.687.352,2.401.972,2.013.241,1.676.473,1.609.019,1.447.586,1.293.329,1.210.864,
    Agricultura, ganadería y pesca,112.841,119.155,93.564,90.460,84.319,80.452,82.096,82.736,
    AA  Agricultura, ganadería, caza y selvicultura,..,..,..,..,..,..,..,..,
    BB  Pesca,..,..,..,..,..,..,..,..,
    Energía,19.937,19.260,16.751,14.808,11.014,11.700,10.200,10.309,
    CA+CB+DF  Extracción de productos energéticos, extracción otros minerales, coquerías, refino y combustibles nucleares,6.770,6.337,4.446,3.133,4.415,4.050,2.903,1.933,
    EE  Energía eléctrica, gas y agua,13.167,12.923,12.305,11.675,6.599,7.650,7.297,8.376,
    Industria,308.914,233.243,307.938,273.793,277.260,271.209,276.180,300.960,
    Construcción,98.251,104.718,88.683,50.170,47.406,37.726,33.933,32.994,
    FF  Construcción,98.251,104.718,88.683,50.170,47.406,37.726,33.933,32.994,
    Servicios,2.147.409,1.925.596,1.506.305,1.247.242,1.189.020,1.046.499,890.920,783.865,
    GG  Comercio y reparación,93.598,83.127,86.795,87.980,75.094,69.578,62.332,59.159,
    HH  Hostelería,26.703,25.630,22.202,22.490,21.002,20.738,18.213,15.325,
    II  Transporte y comunicaciones,129.260,97.885,101.843,74.009,95.120,90.852,99.906,88.835,
    JJ  Intermediación financiera,21.820,58.461,37.593,33.667,31.606,19.156,24.613,18.054,
    KK  Inmobiliarias y servicios empresariales,1.303.650,1.117.539,903.219,712.065,596.373,475.043,416.990,361.945,
    LL  Administración pública,259.759,246.525,163.308,171.703,229.833,242.827,159.791,134.667,
    MM  Educación,43.590,35.635,38.180,36.448,29.565,27.745,23.199,30.945,
    NN  Actividades sanitarias y veterinarias servicios sociales,153.713,148.202,67.995,40.382,42.531,31.954,19.704,17.085,
    OO  Otros servicios y actividades sociales servicios personales,115.316,112.592,85.170,68.498,67.896,68.606,66.172,57.850,
    PP  Hogares que emplean personal doméstico,0,0,0,0,0,0,0,0,
    FORMACIÓN BRUTA DE CAPITAL FIJO,2.687.352,2.401.972,2.013.241,1.676.473,1.609.019,1.447.586,1.293.329,1.210.864,
Ceuta,
    FORMACIÓN BRUTA DE CAPITAL FIJO,332.469,311.157,279.644,223.091,232.568,203.592,201.429,164.398,
    Agricultura, ganadería y pesca,6.971,8.228,7.978,8.488,10.102,9.973,9.441,7.246,
    AA  Agricultura, ganadería, caza y selvicultura,..,..,..,..,..,..,..,..,
    BB  Pesca,..,..,..,..,..,..,..,..,
    Energía,14.804,13.893,10.873,8.723,5.842,5.458,4.668,4.529,
    CA+CB+DF  Extracción de productos energéticos, extracción otros minerales, coquerías, refino y combustibles nucleares,..,..,..,..,..,..,..,..,
    EE  Energía eléctrica, gas y agua,..,..,..,..,..,..,..,..,
    Industria,825,700,811,790,726,714,709,683,
    Construcción,8.294,7.765,5.803,4.216,4.031,3.760,3.148,3.348,
    FF  Construcción,8.294,7.765,5.803,4.216,4.031,3.760,3.148,3.348,
    Servicios,301.575,280.571,254.179,200.874,211.867,183.687,183.463,148.592,
    GG  Comercio y reparación,4.613,3.909,4.193,4.759,4.066,3.911,3.395,3.243,
    HH  Hostelería,3.188,3.088,2.836,2.594,2.487,2.740,2.556,2.450,
    II  Transporte y comunicaciones,45.040,60.128,62.593,33.995,47.427,67.214,51.874,40.729,
    JJ  Intermediación financiera,2.393,3.412,2.309,2.104,1.584,944,2.766,1.633,
    KK  Inmobiliarias y servicios empresariales,112.100,104.038,101.816,92.490,78.787,65.040,56.059,49.329,
    LL  Administración pública,82.884,55.236,38.964,36.297,51.389,23.611,40.201,33.859,
    MM  Educación,1.827,3.412,7.206,1.547,1.291,1.266,1.006,1.002,
    NN  Actividades sanitarias y veterinarias servicios sociales,25.824,24.173,16.441,11.923,8.908,4.334,12.505,4.879,
    OO  Otros servicios y actividades sociales servicios personales,23.706,23.175,17.821,15.165,15.928,14.627,13.101,11.468,
    PP  Hogares que emplean personal doméstico,0,0,0,0,0,0,0,0,
    FORMACIÓN BRUTA DE CAPITAL FIJO,332.469,311.157,279.644,223.091,232.568,203.592,201.429,164.398,
Melilla,
    FORMACIÓN BRUTA DE CAPITAL FIJO,317.886,294.908,285.472,214.440,212.244,173.262,169.040,156.302,
    Agricultura, ganadería y pesca,2.561,2.347,2.156,2.447,2.802,2.784,2.811,2.355,
    AA  Agricultura, ganadería, caza y selvicultura,..,..,..,..,..,..,..,..,
    BB  Pesca,..,..,..,..,..,..,..,..,
    Energía,7.995,6.147,4.161,3.377,2.552,2.600,2.099,2.465,
    CA+CB+DF  Extracción de productos energéticos, extracción otros minerales, coquerías, refino y combustibles nucleares,..,..,..,..,..,..,..,..,
    EE  Energía eléctrica, gas y agua,..,..,..,..,..,..,..,..,
    Industria,541,457,520,483,476,474,472,475,
    Construcción,8.768,8.236,6.848,5.515,5.203,4.995,4.606,5.168,
    FF  Construcción,8.768,8.236,6.848,5.515,5.203,4.995,4.606,5.168,
    Servicios,298.021,277.721,271.787,202.618,201.211,162.409,159.052,145.839,
    GG  Comercio y reparación,6.610,6.309,6.658,7.349,6.383,6.505,5.661,5.525,
    HH  Hostelería,3.964,4.054,4.051,3.780,3.625,3.660,3.573,2.768,
    II  Transporte y comunicaciones,44.341,39.666,44.828,34.027,41.416,33.791,36.436,30.585,
    JJ  Intermediación financiera,1.728,2.884,1.779,1.583,998,603,2.490,1.508,
    KK  Inmobiliarias y servicios empresariales,152.680,141.523,127.503,109.476,94.020,74.742,64.481,59.069,
    LL  Administración pública,50.673,45.106,55.419,21.049,29.518,20.576,27.080,27.556,
    MM  Educación,1.567,2.347,1.977,1.246,1.167,1.039,973,863,
    NN  Actividades sanitarias y veterinarias servicios sociales,15.495,14.993,13.885,11.018,11.103,8.759,7.151,8.075,
    OO  Otros servicios y actividades sociales servicios personales,20.963,20.839,15.687,13.090,12.981,12.734,11.207,9.890,
    PP  Hogares que emplean personal doméstico,0,0,0,0,0,0,0,0,
    FORMACIÓN BRUTA DE CAPITAL FIJO,317.886,294.908,285.472,214.440,212.244,173.262,169.040,156.302,
TOTAL NACIONAL,
    FORMACIÓN BRUTA DE CAPITAL FIJO,323.521.000,301.169.000,267.042.000,235.805.000,212.800.000,191.611.000,176.966.000,162.806.000,
    Agricultura, ganadería y pesca,3.954.700,3.981.900,4.060.200,4.151.500,3.837.200,3.705.600,3.604.000,3.419.900,
    AA  Agricultura, ganadería, caza y selvicultura,3.786.700,3.782.000,3.858.800,3.941.000,3.601.200,3.474.500,3.370.800,3.248.900,
    BB  Pesca,168.000,199.900,201.400,210.500,236.000,231.100,233.200,171.000,
    Energía,11.570.200,12.491.300,10.094.900,9.433.500,7.065.900,7.045.900,6.006.900,5.769.900,
    CA+CB+DF  Extracción de productos energéticos, extracción otros minerales, coquerías, refino y combustibles nucleares,1.975.100,2.156.800,1.732.100,1.731.300,1.244.500,1.223.500,1.162.400,1.125.500,
    EE  Energía eléctrica, gas y agua,9.595.100,10.334.500,8.362.800,7.702.200,5.821.400,5.822.400,4.844.500,4.644.400,
    Industria,25.964.800,24.015.000,22.171.900,22.618.900,21.790.300,21.464.700,21.601.200,20.451.600,
    Construcción,13.440.600,12.452.900,9.886.900,7.957.600,6.852.000,5.893.200,5.580.900,5.520.100,
    FF  Construcción,13.440.600,12.452.900,9.886.900,7.957.600,6.852.000,5.893.200,5.580.900,5.520.100,
    Servicios,268.590.700,248.227.900,220.828.100,191.643.500,173.254.600,153.501.600,140.173.000,127.644.500,
    GG  Comercio y reparación,18.441.700,16.597.700,16.115.200,17.267.100,14.020.000,13.033.800,12.038.900,11.521.400,
    HH  Hostelería,7.628.400,7.009.900,6.563.600,6.619.900,5.910.900,5.751.200,5.302.100,4.579.900,
    II  Transporte y comunicaciones,35.246.400,30.749.200,29.943.800,25.255.800,26.737.400,24.746.100,23.973.600,24.146.400,
    JJ  Intermediación financiera,3.436.000,6.673.000,4.119.000,4.508.000,3.606.000,2.504.000,3.456.000,2.510.000,
    KK  Inmobiliarias y servicios empresariales,141.698.400,131.797.700,117.166.700,97.760.400,83.316.800,70.987.100,62.763.500,55.570.700,
    LL  Administración pública,31.116.100,26.337.800,24.350.400,20.630.400,20.898.400,19.394.700,17.118.000,14.911.000,
    MM  Educación,5.628.300,5.040.200,4.814.700,4.507.100,4.037.700,3.738.300,3.251.700,3.159.200,
    NN  Actividades sanitarias y veterinarias servicios sociales,7.840.900,6.816.900,4.902.500,4.240.800,3.814.300,3.520.500,3.236.600,2.861.400,
    OO  Otros servicios y actividades sociales servicios personales,17.554.500,17.205.500,12.852.200,10.854.000,10.913.100,9.825.900,9.032.600,8.384.500,
    PP  Hogares que emplean personal doméstico,0,0,0,0,0,0,0,0,
    FORMACIÓN BRUTA DE CAPITAL FIJO,323.521.000,301.169.000,267.042.000,235.805.000,212.800.000,191.611.000,176.966.000,162.806.000,
Notas:
1) (P) Estimación provisional
1) ~'ramas de actividad,Industria'~Comprende: sección D excepto la subsección DF de la Clasificación  Nacional de Actividades Económicas(CNAE-93)
Fuente: Instituto Nacional de Estadística
