
Resultados por comunidades y ciudades autónomas
Formación Bruta de Capital Fijo por comunidades y ciudades autónomas, ramas de actividad y periodo.
Unidades: miles de euros y porcentajes

,2007 (P),2006,2005,2004,2003,2002,2001,2000,
    II  Transporte y comunicaciones,821.159,503.380,427.657,316.992,359.089,325.096,323.869,341.980,
    JJ  Intermediación financiera,29.735,150.944,75.612,73.672,50.819,39.793,63.860,48.730,
    KK  Inmobiliarias y servicios empresariales,2.796.791,2.654.867,2.474.011,2.170.381,1.933.574,1.672.665,1.453.987,1.303.979,
    LL  Administración pública,812.838,816.453,692.456,853.778,758.154,823.865,706.190,598.214,
    MM  Educación,105.359,90.490,80.443,78.230,68.888,82.285,72.301,79.873,
    NN  Actividades sanitarias y veterinarias servicios sociales,165.837,137.136,99.715,87.268,90.483,70.302,52.049,47.699,
    OO  Otros servicios y actividades sociales servicios personales,369.871,374.652,271.503,237.179,240.717,224.026,218.427,206.536,
    PP  Hogares que emplean personal doméstico,0,0,0,0,0,0,0,0,
    FORMACIÓN BRUTA DE CAPITAL FIJO,6.475.065,6.349.548,5.440.210,5.094.567,4.725.534,4.391.414,4.026.225,3.669.751,
Balears, Illes,
    FORMACIÓN BRUTA DE CAPITAL FIJO,8.427.150,8.066.122,7.197.735,6.265.908,5.463.837,5.150.735,4.807.375,4.347.958,
    Agricultura, ganadería y pesca,50.442,52.630,52.258,48.949,45.010,44.574,43.748,43.843,
    AA  Agricultura, ganadería, caza y selvicultura,47.870,49.799,49.608,45.928,41.968,41.777,40.663,41.413,
    BB  Pesca,2.572,2.831,2.650,3.021,3.042,2.797,3.085,2.430,
    Energía,262.038,303.811,230.871,180.517,124.652,123.806,95.323,83.417,
    CA+CB+DF  Extracción de productos energéticos, extracción otros minerales, coquerías, refino y combustibles nucleares,11.792,17.502,10.551,5.851,8.716,7.666,5.541,4.664,
    EE  Energía eléctrica, gas y agua,250.246,286.309,220.320,174.666,115.936,116.140,89.782,78.753,
    Industria,187.760,153.063,133.789,111.946,116.580,111.218,114.520,107.388,
    Construcción,318.229,279.158,257.659,203.480,186.818,152.262,157.531,155.026,
    FF  Construcción,318.229,279.158,257.659,203.480,186.818,152.262,157.531,155.026,
    Servicios,7.608.681,7.277.460,6.523.158,5.721.016,4.990.777,4.718.875,4.396.253,3.958.284,
    GG  Comercio y reparación,311.099,286.709,294.300,309.311,259.321,225.576,201.516,196.914,
    HH  Hostelería,792.976,747.298,730.777,756.486,638.182,668.876,633.562,522.533,
    II  Transporte y comunicaciones,971.470,896.638,946.310,730.151,696.858,793.565,853.684,775.637,
    JJ  Intermediación financiera,45.427,144.425,96.366,101.725,85.508,58.216,77.557,61.771,
    KK  Inmobiliarias y servicios empresariales,4.241.858,3.915.940,3.367.119,2.941.218,2.552.368,2.213.947,2.031.308,1.866.574,
    LL  Administración pública,487.939,553.640,573.582,474.747,331.355,357.683,257.824,208.508,
    MM  Educación,106.993,117.185,69.666,49.539,52.453,57.232,50.329,54.498,
